id,digit
2049,6
2050,8
2051,6
2052,6
2053,3
2054,7
2055,5
2056,3
2057,8
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,5
2065,9
2066,6
2067,1
2068,4
2069,5
2070,8
2071,7
2072,2
2073,5
2074,9
2075,2
2076,9
2077,9
2078,8
2079,8
2080,9
2081,6
2082,6
2083,0
2084,4
2085,1
2086,6
2087,6
2088,4
2089,4
2090,1
2091,8
2092,9
2093,3
2094,6
2095,7
2096,8
2097,2
2098,2
2099,8
2100,4
2101,9
2102,2
2103,6
2104,6
2105,1
2106,2
2107,2
2108,5
2109,2
2110,2
2111,1
2112,9
2113,1
2114,0
2115,6
2116,3
2117,6
2118,6
2119,0
2120,6
2121,7
2122,5
2123,2
2124,7
2125,6
2126,9
2127,2
2128,7
2129,7
2130,9
2131,8
2132,4
2133,3
2134,9
2135,8
2136,2
2137,7
2138,5
2139,8
2140,5
2141,4
2142,9
2143,0
2144,6
2145,9
2146,3
2147,0
2148,1
2149,6
2150,5
2151,6
2152,2
2153,5
2154,6
2155,2
2156,9
2157,4
2158,5
2159,9
2160,2
2161,9
2162,8
2163,2
2164,6
2165,5
2166,2
2167,9
2168,9
2169,2
2170,0
2171,9
2172,9
2173,6
2174,8
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,9
2182,6
2183,8
2184,9
2185,6
2186,5
2187,9
2188,9
2189,3
2190,7
2191,5
2192,2
2193,6
2194,5
2195,8
2196,8
2197,7
2198,8
2199,9
2200,6
2201,6
2202,4
2203,8
2204,6
2205,9
2206,5
2207,8
2208,8
2209,6
2210,0
2211,2
2212,1
2213,1
2214,1
2215,2
2216,4
2217,9
2218,2
2219,6
2220,4
2221,9
2222,8
2223,6
2224,1
2225,4
2226,8
2227,0
2228,7
2229,2
2230,5
2231,5
2232,6
2233,1
2234,6
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,2
2243,5
2244,6
2245,8
2246,6
2247,2
2248,9
2249,1
2250,5
2251,9
2252,1
2253,6
2254,6
2255,2
2256,8
2257,6
2258,9
2259,9
2260,2
2261,2
2262,2
2263,8
2264,6
2265,9
2266,4
2267,6
2268,8
2269,2
2270,2
2271,8
2272,9
2273,6
2274,4
2275,5
2276,7
2277,6
2278,7
2279,9
2280,4
2281,5
2282,9
2283,9
2284,5
2285,6
2286,9
2287,9
2288,6
2289,8
2290,9
2291,2
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,8
2299,0
2300,7
2301,2
2302,8
2303,5
2304,6
2305,2
2306,9
2307,7
2308,8
2309,2
2310,8
2311,8
2312,5
2313,8
2314,9
2315,9
2316,4
2317,4
2318,9
2319,4
2320,5
2321,0
2322,9
2323,9
2324,1
2325,2
2326,6
2327,9
2328,9
2329,9
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,2
2338,4
2339,6
2340,9
2341,2
2342,6
2343,1
2344,6
2345,1
2346,8
2347,1
2348,3
2349,4
2350,9
2351,1
2352,6
2353,6
2354,6
2355,1
2356,2
2357,6
2358,9
2359,5
2360,4
2361,6
2362,9
2363,1
2364,2
2365,9
2366,5
2367,2
2368,2
2369,8
2370,4
2371,9
2372,2
2373,9
2374,9
2375,5
2376,6
2377,5
2378,9
2379,2
2380,2
2381,9
2382,4
2383,6
2384,5
2385,8
2386,4
2387,5
2388,2
2389,4
2390,9
2391,9
2392,8
2393,4
2394,8
2395,5
2396,1
2397,4
2398,6
2399,3
2400,6
2401,2
2402,4
2403,6
2404,5
2405,7
2406,5
2407,9
2408,8
2409,9
2410,8
2411,9
2412,3
2413,9
2414,6
2415,9
2416,5
2417,6
2418,9
2419,2
2420,9
2421,4
2422,2
2423,3
2424,8
2425,1
2426,1
2427,9
2428,8
2429,8
2430,9
2431,5
2432,2
2433,9
2434,9
2435,9
2436,0
2437,9
2438,9
2439,9
2440,1
2441,9
2442,6
2443,9
2444,3
2445,9
2446,4
2447,9
2448,6
2449,5
2450,9
2451,5
2452,6
2453,2
2454,9
2455,6
2456,5
2457,6
2458,5
2459,6
2460,8
2461,6
2462,2
2463,0
2464,9
2465,4
2466,1
2467,9
2468,8
2469,9
2470,3
2471,9
2472,6
2473,5
2474,5
2475,9
2476,6
2477,4
2478,9
2479,4
2480,2
2481,4
2482,6
2483,8
2484,6
2485,6
2486,6
2487,2
2488,4
2489,6
2490,9
2491,9
2492,2
2493,2
2494,6
2495,6
2496,8
2497,6
2498,9
2499,7
2500,7
2501,2
2502,1
2503,6
2504,5
2505,5
2506,8
2507,6
2508,8
2509,9
2510,9
2511,5
2512,9
2513,8
2514,9
2515,2
2516,9
2517,2
2518,2
2519,5
2520,8
2521,6
2522,8
2523,9
2524,9
2525,8
2526,8
2527,5
2528,9
2529,2
2530,7
2531,2
2532,7
2533,2
2534,2
2535,5
2536,5
2537,5
2538,4
2539,7
2540,8
2541,8
2542,5
2543,8
2544,5
2545,9
2546,3
2547,9
2548,1
2549,1
2550,5
2551,2
2552,5
2553,2
2554,5
2555,4
2556,0
2557,9
2558,6
2559,0
2560,1
2561,7
2562,5
2563,2
2564,3
2565,1
2566,6
2567,9
2568,6
2569,6
2570,7
2571,6
2572,6
2573,3
2574,8
2575,5
2576,7
2577,3
2578,8
2579,9
2580,2
2581,8
2582,2
2583,6
2584,9
2585,2
2586,9
2587,2
2588,7
2589,9
2590,8
2591,6
2592,9
2593,1
2594,4
2595,8
2596,4
2597,8
2598,6
2599,9
2600,2
2601,5
2602,2
2603,9
2604,9
2605,2
2606,8
2607,3
2608,6
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,9
2616,6
2617,6
2618,9
2619,2
2620,9
2621,0
2622,9
2623,5
2624,6
2625,2
2626,5
2627,6
2628,2
2629,3
2630,9
2631,4
2632,9
2633,6
2634,6
2635,8
2636,5
2637,8
2638,4
2639,1
2640,4
2641,1
2642,3
2643,8
2644,9
2645,5
2646,6
2647,0
2648,3
2649,2
2650,8
2651,5
2652,6
2653,4
2654,6
2655,7
2656,2
2657,9
2658,2
2659,8
2660,5
2661,0
2662,6
2663,1
2664,2
2665,2
2666,4
2667,4
2668,9
2669,1
2670,9
2671,9
2672,6
2673,5
2674,2
2675,1
2676,5
2677,4
2678,0
2679,6
2680,1
2681,4
2682,5
2683,9
2684,7
2685,8
2686,6
2687,5
2688,5
2689,2
2690,5
2691,5
2692,2
2693,2
2694,9
2695,6
2696,6
2697,2
2698,7
2699,9
2700,1
2701,8
2702,6
2703,6
2704,6
2705,8
2706,9
2707,1
2708,9
2709,1
2710,2
2711,8
2712,6
2713,5
2714,8
2715,2
2716,2
2717,6
2718,5
2719,5
2720,4
2721,2
2722,9
2723,6
2724,9
2725,4
2726,7
2727,8
2728,1
2729,6
2730,6
2731,8
2732,1
2733,9
2734,8
2735,5
2736,8
2737,5
2738,6
2739,5
2740,4
2741,5
2742,7
2743,9
2744,2
2745,3
2746,1
2747,0
2748,4
2749,6
2750,5
2751,9
2752,5
2753,7
2754,9
2755,0
2756,6
2757,9
2758,2
2759,8
2760,4
2761,3
2762,6
2763,2
2764,3
2765,2
2766,3
2767,8
2768,2
2769,2
2770,1
2771,3
2772,4
2773,4
2774,8
2775,8
2776,2
2777,7
2778,9
2779,4
2780,5
2781,6
2782,8
2783,6
2784,6
2785,3
2786,1
2787,9
2788,4
2789,0
2790,9
2791,6
2792,6
2793,9
2794,1
2795,1
2796,8
2797,2
2798,6
2799,9
2800,8
2801,3
2802,4
2803,1
2804,1
2805,6
2806,2
2807,6
2808,7
2809,9
2810,9
2811,9
2812,9
2813,6
2814,9
2815,9
2816,1
2817,5
2818,8
2819,6
2820,1
2821,1
2822,9
2823,8
2824,1
2825,8
2826,9
2827,6
2828,5
2829,6
2830,7
2831,1
2832,9
2833,9
2834,9
2835,1
2836,9
2837,2
2838,1
2839,9
2840,6
2841,7
2842,4
2843,4
2844,0
2845,6
2846,4
2847,4
2848,6
2849,9
2850,9
2851,2
2852,2
2853,0
2854,0
2855,1
2856,0
2857,0
2858,0
2859,1
2860,6
2861,7
2862,1
2863,9
2864,9
2865,9
2866,9
2867,9
2868,8
2869,2
2870,8
2871,9
2872,2
2873,6
2874,6
2875,9
2876,6
2877,6
2878,7
2879,6
2880,6
2881,6
2882,9
2883,1
2884,9
2885,9
2886,7
2887,9
2888,7
2889,1
2890,5
2891,9
2892,2
2893,2
2894,3
2895,8
2896,9
2897,6
2898,1
2899,9
2900,2
2901,6
2902,6
2903,5
2904,1
2905,5
2906,2
2907,5
2908,9
2909,6
2910,4
2911,5
2912,9
2913,9
2914,9
2915,2
2916,6
2917,2
2918,3
2919,1
2920,9
2921,4
2922,5
2923,6
2924,5
2925,5
2926,9
2927,3
2928,9
2929,6
2930,9
2931,2
2932,5
2933,8
2934,9
2935,1
2936,9
2937,6
2938,8
2939,5
2940,7
2941,1
2942,9
2943,3
2944,1
2945,8
2946,5
2947,2
2948,5
2949,7
2950,9
2951,5
2952,7
2953,8
2954,5
2955,9
2956,1
2957,6
2958,2
2959,9
2960,9
2961,6
2962,1
2963,5
2964,7
2965,5
2966,7
2967,9
2968,5
2969,9
2970,2
2971,0
2972,4
2973,2
2974,1
2975,6
2976,3
2977,9
2978,2
2979,7
2980,5
2981,2
2982,5
2983,9
2984,9
2985,8
2986,5
2987,6
2988,5
2989,6
2990,5
2991,8
2992,1
2993,9
2994,2
2995,7
2996,7
2997,5
2998,8
2999,2
3000,4
3001,3
3002,3
3003,1
3004,1
3005,5
3006,3
3007,3
3008,8
3009,2
3010,6
3011,8
3012,4
3013,1
3014,2
3015,2
3016,4
3017,3
3018,2
3019,6
3020,9
3021,5
3022,5
3023,5
3024,3
3025,5
3026,1
3027,6
3028,9
3029,9
3030,1
3031,5
3032,9
3033,5
3034,2
3035,6
3036,4
3037,8
3038,4
3039,9
3040,5
3041,5
3042,8
3043,2
3044,9
3045,9
3046,5
3047,4
3048,2
3049,2
3050,7
3051,9
3052,7
3053,1
3054,4
3055,5
3056,1
3057,4
3058,9
3059,6
3060,9
3061,4
3062,2
3063,2
3064,6
3065,9
3066,9
3067,8
3068,9
3069,2
3070,6
3071,0
3072,9
3073,6
3074,9
3075,6
3076,1
3077,5
3078,1
3079,9
3080,5
3081,5
3082,5
3083,4
3084,5
3085,8
3086,3
3087,9
3088,6
3089,9
3090,6
3091,9
3092,3
3093,0
3094,6
3095,6
3096,9
3097,1
3098,2
3099,2
3100,2
3101,9
3102,6
3103,1
3104,1
3105,4
3106,6
3107,2
3108,8
3109,9
3110,9
3111,1
3112,5
3113,9
3114,6
3115,2
3116,4
3117,6
3118,2
3119,9
3120,6
3121,6
3122,6
3123,9
3124,8
3125,9
3126,8
3127,8
3128,9
3129,3
3130,6
3131,5
3132,6
3133,1
3134,6
3135,5
3136,6
3137,5
3138,1
3139,0
3140,7
3141,9
3142,9
3143,4
3144,6
3145,2
3146,8
3147,2
3148,2
3149,8
3150,9
3151,4
3152,8
3153,8
3154,8
3155,9
3156,3
3157,1
3158,2
3159,4
3160,7
3161,5
3162,8
3163,5
3164,1
3165,9
3166,9
3167,5
3168,5
3169,9
3170,6
3171,6
3172,1
3173,7
3174,6
3175,7
3176,9
3177,8
3178,2
3179,4
3180,8
3181,8
3182,9
3183,5
3184,9
3185,2
3186,9
3187,2
3188,1
3189,9
3190,9
3191,5
3192,9
3193,4
3194,5
3195,2
3196,6
3197,6
3198,9
3199,6
3200,7
3201,7
3202,9
3203,6
3204,6
3205,4
3206,9
3207,5
3208,9
3209,4
3210,9
3211,1
3212,1
3213,4
3214,5
3215,8
3216,1
3217,6
3218,9
3219,4
3220,9
3221,9
3222,9
3223,2
3224,8
3225,9
3226,6
3227,4
3228,1
3229,9
3230,5
3231,2
3232,9
3233,4
3234,6
3235,0
3236,6
3237,4
3238,9
3239,8
3240,2
3241,0
3242,5
3243,4
3244,2
3245,9
3246,6
3247,2
3248,6
3249,8
3250,4
3251,7
3252,8
3253,2
3254,9
3255,6
3256,9
3257,6
3258,9
3259,3
3260,9
3261,8
3262,5
3263,4
3264,4
3265,4
3266,8
3267,9
3268,9
3269,2
3270,2
3271,9
3272,9
3273,8
3274,0
3275,2
3276,6
3277,4
3278,8
3279,9
3280,5
3281,0
3282,5
3283,8
3284,2
3285,8
3286,9
3287,2
3288,6
3289,9
3290,3
3291,8
3292,9
3293,9
3294,2
3295,1
3296,6
3297,9
3298,5
3299,5
3300,9
3301,0
3302,4
3303,9
3304,8
3305,1
3306,9
3307,3
3308,9
3309,8
3310,5
3311,6
3312,1
3313,7
3314,1
3315,6
3316,5
3317,9
3318,9
3319,6
3320,9
3321,9
3322,9
3323,9
3324,6
3325,9
3326,9
3327,9
3328,6
3329,9
3330,2
3331,4
3332,4
3333,8
3334,9
3335,4
3336,7
3337,9
3338,6
3339,2
3340,4
3341,3
3342,6
3343,1
3344,9
3345,1
3346,4
3347,6
3348,6
3349,2
3350,9
3351,8
3352,6
3353,9
3354,4
3355,6
3356,5
3357,4
3358,5
3359,7
3360,5
3361,6
3362,5
3363,9
3364,6
3365,2
3366,3
3367,6
3368,9
